Wed Mar 16 15:18:41 2022    profiler/output.dat

         469879 function calls (466261 primitive calls) in 2.484 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      104    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\traceback.py:301(line)
      104    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\traceback.py:309(walk_stack)
      102    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:98(_compare)
      100    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       97    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:4781(<genexpr>)
       95    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:203(<genexpr>)
       94    0.000    0.000    0.034    0.000 C:\Program Files\Python310\lib\re.py:288(_compile)
       94    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:4890(<genexpr>)
       92    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
       88    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\ntpath.py:180(split)
       87    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
    87/79    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3576(__str__)
       86    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\__init__.py:2635(key)
       86    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
     85/1    0.000    0.000    0.118    0.118 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
       84    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:107(__init__)
       84    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:205(_legacy_cmpkey)
       84    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3390(__init__)
       84    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
       83    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1821(__add__)
       82    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3719(__init__)
    80/63    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_compile.py:461(_get_literal_prefix)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
       79    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       78    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       78    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\linecache.py:26(getline)
       78    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\linecache.py:36(getlines)
       78    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\linecache.py:147(lazycache)
       78    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:490(<lambda>)
       78    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2052(leaveWhitespace)
       78    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\traceback.py:259(__init__)
    77/62    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3434(__str__)
       76    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1351(preParse)
       75    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       74    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1491(<genexpr>)
       69    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
       69    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
       69    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
       69    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       69    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
     69/1    0.000    0.000    0.118    0.118 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     69/1    0.000    0.000    0.118    0.118 <frozen importlib._bootstrap>:1022(_find_and_load)
       69    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
       69    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2412(__init__)
       69    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
       68    0.000    0.000    0.034    0.000 C:\Program Files\Python310\lib\re.py:249(compile)
       68    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:84(<lambda>)
       68    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:82(__eq__)
       67    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
       67    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
    67/49    0.000    0.000    0.038    0.001 <frozen importlib._bootstrap>:564(module_from_spec)
       67    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
       67    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap>:921(_find_spec)
       67    0.000    0.000    0.002    0.000 C:\Program Files\Python310\lib\genericpath.py:39(isdir)
       67    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       67    0.005    0.000    0.005    0.000 {method 'render' of 'pygame.font.Font' objects}
       66    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
     65/1    0.000    0.000    0.118    0.118 <frozen importlib._bootstrap>:664(_load_unlocked)
       65    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
       65    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1390(_get_spec)
       65    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1422(find_spec)
